Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
G3UX37,56,,Uncharacterized protein,,,nan,nan,nan
A0JPE5,55,100149566,Mix-type homeobox gene 1,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","embryonic heart tube development, positive regulation of cell migration, positive regulation of transcription, DNA-templated, regulation of transcription by RNA polymerase II, somite specification",Nucleus
V8P4T8,56,,Homeobox protein prophet of Pit-1,Ophiophagus hannah (King cobra) (Naja hannah),8665,DNA binding,nan,Nucleus
A7RSY8,56,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2A2JJF0,58,,Uncharacterized protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7T6H1,58,,Paired box Pax-6 isoform X3,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7RHH5,58,,Paired mesoderm homeobox 2,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7SK90,58,,Rhox homeobox family member 1,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8D3N8,58,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8DWV1,58,,RAX,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1PYP9,57,105317762,Homeobox expressed in ES cells 1,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1PJF6,57,105347625,Homeobox expressed in ES cells 1,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V4AQ16,57,20238355,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V4ALV7,57,20238354,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,DNA binding,nan,Nucleus
A0A210PNY9,57,,Retinal homeobox protein Rx1,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8KKX2,58,,Homeobox domain-containing protein,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4YPA8,58,,Uncharacterized protein,,,nan,nan,nan
A0A177B436,57,,Homeobox domain-containing protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177B489,57,,Homeobox domain-containing protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158QBA6,47,,Homeobox domain-containing protein,Enterobius vermicularis (Human pinworm),51028,DNA binding,nan,Nucleus
A0A2A2J1X3,45,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,nan,Nucleus
A0A091QV90,58,,Homeobox protein NOBOX,Merops nubicus (Northern carmine bee-eater),57421,"DNA binding, DNA-binding transcription factor activity",regulation of transcription by RNA polymerase II,Nucleus
A0A4Z2J8I0,54,,Homeobox protein NOBOX,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity","multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A0A1X7VPD0,58,105315170,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3XS51,58,,Homeobox domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R7T989,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,DNA binding,nan,Nucleus
F1R8X3,57,,Dharma,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","axial mesoderm formation, axial mesoderm morphogenesis, brain morphogenesis, determination of left/right asymmetry in lateral mesoderm, determination of left/right symmetry, developmental pigmentation, embryonic heart tube morphogenesis, embryonic pattern specification, eye morphogenesis, floor plate development, heart looping, notochord development, notochord formation, positive regulation of fibroblast growth factor receptor signaling pathway, regulation of BMP signaling pathway involved in heart jogging, regulation of transcription by RNA polymerase II, somite development, Spemann organizer formation",Nucleus
A0A444U6A6,57,,Homeobox protein goosecoid isoform A,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4Z2HZP3,57,,Homeobox protein goosecoid,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
Q8NHV9,58,158800,Rhox homeobox family member 1,Homo sapiens (Human),9606,"DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific double-stranded DNA binding","enteric nervous system development, gamete generation, intracellular steroid hormone receptor signaling pathway, multicellular organism development, positive regulation of gene expression, regulation of transcription, DNA-templated, regulation of transcription by RNA polymerase II, sexual reproduction","Cytosol, Nucleus, Other locations"
A0A6J8CQ10,58,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V4AA12,58,20251990,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V4ACK5,58,20251970,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A210QR90,57,,Homeobox protein prophet of Pit-1,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8CQL9,58,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8CL83,58,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8CL77,58,,RAX,Mytilus coruscus (Sea mussel),42192,DNA binding,nan,Nucleus
V4B2G8,58,20241251,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3Y2G4,58,,Paired-like class homeodomain transcription factor protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
V3ZU67,58,20238495,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A7RKV8,47,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",Nucleus
A0A2B4SPW9,58,,Homeobox protein unc-4,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",positive regulation of transcription by RNA polymerase II,Nucleus
A7RKV8,45,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",Nucleus
H3FYA4,57,,Homeobox domain-containing protein,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A1X7VK02,58,105316660,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0L0DEE9,58,25560490,Homeobox domain-containing protein,Thecamonas trahens ATCC 50062,461836,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0L0DIA2,58,25566955,Phox2,Thecamonas trahens ATCC 50062,461836,DNA binding,nan,Nucleus
E4XTE1,57,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
M1VIN3,54,16997655,Homeobox domain-containing protein,Cyanidioschyzon merolae (strain 10D) (Red alga),280699,DNA binding,nan,Nucleus
A0A2B4RQW4,58,,Homeobox protein prophet of Pit-1,Stylophora pistillata (Smooth cauliflower coral),50429,DNA binding,nan,Nucleus
A7RTM6,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,DNA binding,nan,Nucleus
R7TUR1,48,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,"Nucleus, Other locations"
A0A0L0FFR4,58,25912406,Homeobox domain-containing protein,Sphaeroforma arctica JP610,667725,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2P4SQE7,58,,Uncharacterized protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A401PLN9,58,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
C3ZBH5,58,,AT-binding transcription factor1,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, zinc ion binding",regulation of transcription by RNA polymerase II,Nucleus
A0A0G2KAT7,58,,Zinc finger homeobox 2,Rattus norvegicus (Rat),10116,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","adult behavior, brain development, regulation of neuron differentiation, regulation of sensory perception of pain, regulation of transcription by RNA polymerase II",Nucleus
A0A2G9S8S5,58,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5B7EE69,58,,Zinc finger homeobox protein 2,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H9JR61,58,101747010,Uncharacterized protein,Bombyx mori (Silk moth),7091,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
E9FTE1,58,,Putative zinc finger homeobox protein 3,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, zinc ion binding",regulation of transcription by RNA polymerase II,Nucleus
T1J493,58,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0L8HZL6,58,,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
V3YXS2,58,20252911,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A210QGX1,58,,Zinc finger homeobox protein 3,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A1V9XCX7,58,,Zinc finger homeobox protein 4-like,Tropilaelaps mercedesae,418985,DNA binding,nan,Nucleus
A0A1S3I0Z9,58,106159310,zinc finger homeobox protein 4 isoform X2,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
E0VGR2,58,8240177,"Zfh4, putative",Pediculus humanus subsp. corporis (Body louse),121224,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
J9JQG8,58,100161293,Uncharacterized protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A5N5SY24,58,,Zinc finger homeobox protein 4,Armadillidium nasatum,96803,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A6A4JTZ5,58,,Homeobox domain-containing protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,DNA binding,nan,Nucleus
A0A1D2NDJ1,58,,Zinc finger homeobox protein 4,Orchesella cincta (Springtail),48709,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4WKD9,58,,Zinc finger homeobox protein 4,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,DNA binding,nan,Nucleus
A0A401QDD9,58,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q1RLB9,58,751576,Transcription factor protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2G8LQU1,58,,Putative zinc finger homeobox protein 4 isoform X2,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
W4YNH1,58,,Uncharacterized protein,,,nan,nan,nan
A0A1D1V9N5,58,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
T1EKA9,58,20197009,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A553N9I1,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A553N9D0,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A077Z2H2,58,,Zinc finger homeobox protein 3,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A0R3PWK5,58,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2A2KYD2,58,,Uncharacterized protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H3EIV3,58,,Transcription factor BTF3,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, ubiquitin-protein transferase activity",DNA replication,Nucleus
A0A0B2W1B5,58,,Zinc finger homeobox protein 3,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A0J9Y670,58,,"BMA-ZFH-2, isoform j; BMA-ZFH-2, isoform n",Brugia malayi (Filarial nematode worm),6279,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158Q3W9,58,,Uncharacterized protein,Dracunculus medinensis (Guinea worm),318479,DNA binding,nan,Nucleus
A0A4U5PCZ8,58,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,DNA binding,nan,Nucleus
A0A6G0ULS3,58,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
V6CLS4,58,,Zinc Finger and Homeobox,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A090L5A6,58,,Zinc finger protein 2,Strongyloides ratti (Parasitic roundworm),34506,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A6H5I8U2,47,,Uncharacterized protein,Trichogramma brassicae,86971,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A6A4WNP2,58,,Zinc finger homeobox protein 3,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,DNA binding,nan,Nucleus
A0A226EWH7,59,,Zinc finger homeobox protein 4,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A177B7R3,58,,Uncharacterized protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
E4X0H0,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A158R762,58,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4E0RX51,58,,Zinc finger homeobox protein 3,Fasciola hepatica (Liver fluke),6192,DNA binding,nan,Nucleus
A0A5K4F0E6,58,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,DNA binding,nan,Nucleus
A0A183SCW3,58,,Homeobox domain-containing protein,Schistocephalus solidus (Tapeworm),70667,DNA binding,nan,Nucleus
A0A1J1J843,58,,"CLUMA_CG021013, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A4Z2GWV0,58,,Zinc finger homeobox protein 4,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",multicellular organism development,Nucleus
A0A2P6N006,58,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1IQQ5,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4YA65,58,,Uncharacterized protein,,,nan,nan,nan
A0A2G8JYE1,58,,Putative arginine-fifty homeobox-like,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1S3IWB7,58,106167587,retinal homeobox protein Rax,Lingula unguis,7574,DNA binding,nan,Nucleus
A0A210QXH5,58,,Ankyrin repeat domain-containing protein 63,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,DNA binding,nan,Nucleus
A0A6J8D230,58,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192,DNA binding,nan,Nucleus
A0A0L8HGC8,58,106870804,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,DNA binding,nan,Nucleus
A0A1E5RMZ3,58,,Regulatory protein PHO2,Hanseniaspora osmophila,56408,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
P07269,58,851452,Regulatory protein PHO2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292,"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding","cell differentiation, chromatin remodeling, positive regulation of DNA binding, positive regulation of phosphate metabolic process, positive regulation of transcription by RNA polymerase II, positive regulation of transcription regulatory region DNA binding, regulation of histidine biosynthetic process, regulation of purine nucleobase metabolic process, regulation of transcription by RNA polymerase II","Cytosol, Nucleus"
I2JUH7,56,,Homeobox transcription factor,Brettanomyces bruxellensis AWRI1499,1124627,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C4R317,56,8199148,Homeobox transcription factor,Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris),644223,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1D8PP44,56,3636492,Grf10p,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),237561,"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","adenine biosynthetic process, animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, filamentous growth, filamentous growth of a population of unicellular organisms, positive regulation of purine nucleotide biosynthetic process, positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",Nucleus
A6NLW8,56,503835,Double homeobox protein A,Homo sapiens (Human),9606,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific double-stranded DNA binding",regulation of transcription by RNA polymerase II,"Nucleus, Other locations"
Q6RFH8,56,,Double homeobox protein 4C,Homo sapiens (Human),9606,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding, transcription regulatory region sequence-specific DNA binding","cell population proliferation, positive regulation of transcription by RNA polymerase II, regulation of gene expression, regulation of transcription by RNA polymerase II",Nucleus
O43812,47,26584,Double homeobox protein 1,Homo sapiens (Human),9606,"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",Nucleus
A0A0D8X6F5,55,,Homeobox domain protein,Dictyocaulus viviparus (Bovine lungworm),29172,DNA binding,nan,Nucleus
A0A0N4SUK1,58,,Expressed sequence AW822073,Mus musculus (Mouse),10090,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
Q3ULJ8,56,245263,Predicted gene 4981,Mus musculus (Mouse),10090,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2Z6RHJ4,55,,Homeobox domain-containing protein,Rhizophagus clarus,94130,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A397GZE2,56,,Homeobox domain-containing protein,Diversispora epigaea,1348612,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1YZB1,56,,Homeobox-domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1YNA9,56,,Homeobox domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1V114,56,,Homeobox domain-containing protein,Piromyces finnis,1754191,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A137NXY7,56,,Homeobox domain-containing protein,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y2H6R1,57,,Homeobox domain-containing protein,Lobosporangium transversale,64571,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A507DWC9,56,,Homeobox domain-containing protein,Powellomyces hirtus,109895,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0L0RYD3,56,,Homeobox domain-containing protein,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y2HIT8,56,,Homeobox domain-containing protein,Catenaria anguillulae PL171,765915,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A163J857,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A261Y387,56,,Homeobox domain-containing protein,Bifiguratus adelaidae,1938954,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, metalloendopeptidase activity, transferase activity, transferring glycosyl groups",nan,Nucleus
A0A1U7LR83,56,,Homeobox protein HOY1,Neolecta irregularis (strain DAH-3),1198029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0E9N7I0,56,,Homeobox domain-containing protein,Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804),698492,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A168NB80,57,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A168QMM3,57,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A261XYL9,57,,Homeobox domain-containing protein,Bifiguratus adelaidae,1938954,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A163JR14,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0F4Z9C0,56,,Homeobox domain-containing protein,Thielaviopsis punctulata,72032,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1C3YM33,56,,Homeobox domain-containing protein,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
