Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A2G9V495,58,,Homeobox domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",transcription by RNA polymerase II,Nucleus
Q94398,58,191617,Homeobox protein ceh-8,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","pattern specification process, regulation of transcription by RNA polymerase II, transcription by RNA polymerase II",Nucleus
A0A6G0URE3,50,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity",transcription by RNA polymerase II,Nucleus
A0A183VNN0,58,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",positive regulation of transcription by RNA polymerase II,Nucleus
A0A4E0RL97,58,,Retinal homeobox protein Rx2,Fasciola hepatica (Liver fluke),6192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",positive regulation of transcription by RNA polymerase II,Nucleus
T1G8Q9,47,20217456,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","regulation of transcription by RNA polymerase II, transcription by RNA polymerase II",Nucleus
A0A3S1B5H3,46,,Homeobox domain-containing protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A132A8D7,58,,Homeobox domain containing protein 7,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R7UUL8,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1QTQ2,58,,Retinal homeobox protein Rx,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",vesicle-mediated transport,Nucleus
A0A6A4W5N6,58,,Aristaless-related homeobox protein,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3YTQ4,58,,Homeobox domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4JSY7,58,,Homeobox domain-containing protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
Q7PXM7,58,1281689,AGAP001483-PA,Anopheles gambiae (African malaria mosquito),7165,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
E0VWZ9,58,8235881,"Ultrabithorax, putative",Pediculus humanus subsp. corporis (Body louse),121224,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A1J1HXF8,58,,"CLUMA_CG005762, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A1D1VA65,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4YT12,58,,Uncharacterized protein,,,nan,nan,nan
A0A4C1UMY4,58,,Paired mesoderm homeobox protein 1,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
D6W9T0,58,103315103,Retinal homeobox protein Rx-like Protein,Tribolium castaneum (Red flour beetle),7070,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
Q9W1U7,58,37668,FI01017p,Drosophila melanogaster (Fruit fly),7227,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2P8XEU2,49,,Paired mesoderm homeobox protein 1,Blattella germanica (German cockroach) (Blatta germanica),6973,DNA binding,nan,Nucleus
A0A226EN66,58,,Paired mesoderm homeobox protein 2,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A267FP41,58,,Homeobox domain-containing protein,Macrostomum lignano,282301,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5B7H9P7,48,,Homeobox protein aristaless-like 4,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,DNA binding,nan,Nucleus
E9G358,55,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1G6X5,58,20216822,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
B3S4J1,58,6756233,Homeobox domain-containing protein,Trichoplax adhaerens (Trichoplax reptans),10228,DNA binding,nan,Nucleus
A0A1S3JT19,58,106175874,dorsal root ganglia homeobox protein,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8BBK9,58,,Uncharacterized protein,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1Q583,58,105319721,Dorsal root ganglia homeobox protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A210QT94,58,,Intestine-specific homeobox,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3ZM10,58,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A3S0ZFX5,58,,Homeobox domain-containing protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A091R953,58,,Intestine-specific homeobox,Merops nubicus (Northern carmine bee-eater),57421,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
F1M478,58,682968,Intestine-specific homeobox,Rattus norvegicus (Rat),10116,"DNA-binding transcription factor activity, RNA polymerase II-specific, DNA-binding transcription repressor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific DNA binding, sequence-specific double-stranded DNA binding","enteric nervous system development, negative regulation of intestinal absorption, regulation of transcription by RNA polymerase II, regulation of vitamin A metabolic process",Nucleus
A0A401Q0T3,58,,Homeobox domain-containing protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G9RWV9,58,,Homeobox domain-containing protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8LBQ3,58,,Putative retinal homeobox protein Rx1,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4YLW5,58,,Uncharacterized protein,,,nan,nan,nan
V4B058,58,20242283,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R7TGS1,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q4H2X3,58,,Transcription factor protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
R7TJ46,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4STF3,58,,Homeobox protein orthopedia,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6H5IJB4,58,,Uncharacterized protein,Trichogramma brassicae,86971,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A226EZT7,68,,Homeobox protein orthopedia,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
B3S8D5,58,6757628,OTP-paired class homeobox protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A553NNK6,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
F6XUF7,58,,Uncharacterized protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2G8LMD8,46,,Orthopedia,Stichopus japonicus (Sea cucumber),307972,DNA binding,nan,Nucleus
A0A1Y3BKF9,48,,Homeobox domain-containing protein,Euroglyphus maynei (Mayne's house dust mite),6958,DNA binding,nan,Nucleus
A0A443QUM5,47,,Homeobox protein orthopedia-like protein,Dinothrombium tinctorium,1965070,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4VWA7,46,,Homeobox protein orthopedia,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,DNA binding,nan,Nucleus
A0A0V0Y6S7,58,,Aristaless-related homeobox protein,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A077Z2A8,58,,Homeobox domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1V9X5K7,58,,Uncharacterized protein,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4J0P5,58,,Homeobox domain-containing protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A226E712,58,,Paired box protein Pax-6,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158NBG9,58,105617952,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J1TT12,58,,paired box protein Pax-6-like isoform X2,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3S3S6J1,58,,Paired box protein Pax-6-like isoform X3,Dinothrombium tinctorium,1965070,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1JTX3,58,107367864,Uncharacterized protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E9H634,58,,Eyegone,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, regulation of transcription by RNA polymerase II",Nucleus
M9PFA4,46,39418,"Twin of eyg, isoform B",Drosophila melanogaster (Fruit fly),7227,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, compound eye development, negative regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",Nucleus
A0A5B7DQ91,58,,Homeobox protein aristaless-like 4,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7SCC8,58,5510251,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A0A0L8FUB5,58,,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A210PLQ9,58,,Eyegone,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A433U0U0,58,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V4BGK7,58,20252472,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1QWY6,58,,Paired box protein Pax-6,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8JZI5,58,,Putative paired box protein Pax-6 isoform X1,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4YTI6,58,,Uncharacterized protein,,,nan,nan,nan
A0A553P8E5,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4X135,47,,Paired box protein Pax-6,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,DNA binding,"regulation of transcription, DNA-templated",Nucleus
V4AMZ8,58,20234612,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
M7BHB7,58,,Paired box protein Pax-3,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A553PQD1,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A6A4VNH4,58,,Protein gooseberry-neuro,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
T1KZY5,58,,Uncharacterized protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A226EKE8,62,,Protein gooseberry-neuro,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
R7TKD0,58,,Transcription factor Pax3/7,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A2P8ZNV7,58,,Paired box protein Pax-3,Blattella germanica (German cockroach) (Blatta germanica),6973,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
J9JWY0,58,100163852,Uncharacterized protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A653D645,58,,Homeobox domain-containing protein,Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid),64391,DNA binding,"multicellular organism development, regulation of transcription, DNA-templated",Nucleus
A0A1J1HU06,58,,"CLUMA_CG005150, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A553PPT4,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
B4QD61,58,6736172,GD11918,Drosophila simulans (Fruit fly),7240,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","chemical synaptic transmission, neurogenesis, regulation of synaptic activity, salivary gland morphogenesis, segment polarity determination","Nucleus, Other locations"
A0A553PN40,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
E9G541,58,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
P06601,58,34629,Segmentation protein paired,Drosophila melanogaster (Fruit fly),7227,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","anatomical structure development, periodic partitioning by pair rule gene, positive regulation of transcription by RNA polymerase II, regulation of transcription, DNA-templated, regulation of transcription by RNA polymerase II",Nucleus
E4XI61,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
T1FMW8,58,20210167,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A0A158NQ28,58,105622835,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A6A4VNY9,58,,Protein gooseberry-neuro,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A7SI37,58,5508087,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4SZB5,58,,Paired box protein Pax-3,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4T070,58,,Paired box protein Pax-3-B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA integration,Nucleus
Q5IGV3,58,5508078,Homeodomain transcription factor PaxD,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, regulation of transcription by RNA polymerase II",Nucleus
E9HUK7,47,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
T1G8F8,58,20217355,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A0A3Q0IJ34,58,,protein gooseberry-like,Diaphorina citri (Asian citrus psyllid),121845,DNA binding,"multicellular organism development, regulation of transcription, DNA-templated","Nucleus, Other locations"
Q7PRH9,48,1272680,AGAP010359-PA,Anopheles gambiae (African malaria mosquito),7165,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, regulation of transcription by RNA polymerase II",Nucleus
A0A3R7PC94,58,,Paired box protein Pax-7,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,DNA binding,"regulation of transcription, DNA-templated",Nucleus
B3S5D3,58,6756484,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A7RN74,58,5519180,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A0A2B4SWY0,58,,Paired box protein Pax-6,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A553P8T0,46,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A6J8CSD9,58,,PAX6,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B3S644,58,6757056,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
E9GEU7,58,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2G8KKP7,58,,Putative short stature homeobox protein,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1FZ21,58,20214069,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",regulation of transcription by RNA polymerase II,"Nucleus, Other locations"
T1J456,52,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,DNA binding,nan,Nucleus
A0A1D1VLJ1,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E4X173,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5N5STK9,50,,Short stature homeobox protein,Armadillidium nasatum,96803,DNA binding,nan,Nucleus
A7S5Q7,57,5512651,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2B4RFZ0,57,,Short stature homeobox protein,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183VPW2,58,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4E0RMJ2,58,,Odysseus,Fasciola hepatica (Liver fluke),6192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4S2L8F8,58,,Homeobox domain-containing protein,Opisthorchis felineus,147828,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1QLM4,58,,Neuronal acetylcholine receptor subunit beta-3,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, extracellular ligand-gated ion channel activity, transmembrane signaling receptor activity",nan,"Nucleus, Other locations"
E9FV98,58,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A553NV56,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4VMC3,58,,Homeobox protein unc-4,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V3ZS59,58,20251822,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4XEC6,58,,Uncharacterized protein,,,nan,nan,nan
A0A2A2JMJ7,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1D1VTF6,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A016S0L2,58,,Homeobox domain-containing protein,Ancylostoma ceylanicum,53326,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
F6XHU3,58,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",regulation of gene expression,Nucleus
T1K180,58,,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2T7Q0F2,58,,Homeobox domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7QTV9,58,,Homeobox unc-4-like protein,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183IGQ9,47,,Homeobox domain-containing protein,Soboliphyme baturini,241478,DNA binding,nan,Nucleus
T1I5Z5,47,,Homeobox domain-containing protein,Rhodnius prolixus (Triatomid bug),13249,DNA binding,nan,Nucleus
A0A553NTW7,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8K2S1,57,,Putative ALX homeobox protein 1-like,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4SP45,57,,Homeobox protein unc-4,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
