Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q4H363,58,778683,Transcription factor protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
J9L2C3,58,100572285,Homeobox domain-containing protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3P7RNE3,47,,Homeobox domain-containing protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,"DNA binding, DNA-binding transcription factor activity",DNA-binding,positive regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0R3W944,45,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity",DNA-binding,positive regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A132A2P7,52,,Homeobox domain containin protein 1,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"DNA binding, DNA-binding transcription factor activity",DNA-binding,positive regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3YZC6,57,,Homeobox domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1JRP7,57,107360782,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6H5J1F2,57,,Homeobox domain-containing protein,Trichogramma brassicae,86971,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
Q02814,57,,Homeobox protein CHOX-CAD2,Gallus gallus (Chicken),9031,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","Developmental protein, DNA-binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P4TIK0,64,,Homeobox domain-containing protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,DNA binding,DNA-binding,"multicellular organism development, regulation of transcription, DNA-templated",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4Z2HFW3,57,,Homeobox protein CDX-1,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,"Transcription, Transcription regulation",Nucleus,nan,nan,nan,Reference proteome,nan
A0A433T4Z9,57,,Homeobox domain-containing protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F6YJR3,57,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,"animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P4S4R8,61,,Homeobox domain-containing protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1J1HEV4,57,,"CLUMA_CG000044, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1V9XKG0,57,,Homeobox domain-containing protein,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A553P7P5,57,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1J8B4,57,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1IP47,57,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
J9LJL7,57,100574453,Homeobox domain-containing protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A177BCS8,57,,Caudal-type homeobox protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4C1T2G3,57,,Homeotic protein caudal,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
R7TXI6,57,,Caudal protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7S763,57,,Homeobox CDX-1,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A139WIX9,58,641536,Homeotic protein caudal-like Protein,Tribolium castaneum (Red flour beetle),7070,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","Developmental protein, DNA-binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A653C9K5,58,,Homeobox domain-containing protein,Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid),64391,DNA binding,"Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E4XQ46,57,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q5EVF1,57,,Cdx1,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V4B4D7,57,20229522,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6J8AUN1,57,,CDX1_4,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6A4WCC2,57,,Homeobox protein CHOX-CAD,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A158NXC3,57,105625459,Homeobox domain-containing protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0L8H2F4,57,,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
S4R703,55,,Homeobox domain-containing protein,Petromyzon marinus (Sea lamprey),7757,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A077YV51,57,,Homeobox protein CDX 4,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0V0YLI6,57,,Homeobox protein CHOX-CAD,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1D1V9Y2,57,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
P34766,57,175638,Homeobox protein pal-1,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","Activator, Developmental protein, DNA-binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, ectodermal cell fate commitment, embryo development ending in birth or egg hatching, embryonic pattern specification, muscle cell fate commitment, positive regulation of apoptotic process, positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II","Transcription, Transcription regulation","Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A016VTG4,57,,Homeobox domain-containing protein,Ancylostoma ceylanicum,53326,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0H5SNQ7,57,,BMA-PAL-1,Brugia malayi (Filarial nematode worm),6279,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,"ectodermal cell fate commitment, embryo development ending in birth or egg hatching, embryonic pattern specification, muscle cell fate commitment, positive regulation of apoptotic process, positive regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A090L5E4,57,,Homeotic protein caudal,Strongyloides ratti (Parasitic roundworm),34506,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2A2K500,57,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H3DY60,57,,Pal-1,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,"animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4V6A269,57,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0N4V6B5,53,,Homeobox domain-containing protein,Enterobius vermicularis (Human pinworm),51028,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EHQ4,52,20196104,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7RNZ7,57,,Homeobox CDX-1-like,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A267GU37,57,,Homeobox domain-containing protein,Macrostomum lignano,282301,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A267DA12,57,,Homeobox domain-containing protein,Macrostomum lignano,282301,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0UTM4,50,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0N4UJR2,51,,Homeobox domain-containing protein,Dracunculus medinensis (Guinea worm),318479,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3Q0INK4,57,,uncharacterized protein LOC103507146,Diaphorina citri (Asian citrus psyllid),121845,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P8XCJ1,58,,Uncharacterized protein,Blattella germanica (German cockroach) (Blatta germanica),6973,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7RSC0,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4S9K5,58,,Homeobox protein EMX1,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A5B7CQN9,58,,Homeotic protein deformed,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2P8XD67,57,,GS homeobox 1,Blattella germanica (German cockroach) (Blatta germanica),6973,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P8XE19,54,,GS homeobox 2,Blattella germanica (German cockroach) (Blatta germanica),6973,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P8XE22,53,,GS homeobox 1,Blattella germanica (German cockroach) (Blatta germanica),6973,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183W4L9,57,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q26603,57,,Homeobox protein SMOX-4,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2F0AZ38,58,,Homeobox protein notochord,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F1M4Z8,58,502857,Notochord homeobox,Rattus norvegicus (Rat),10116,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific double-stranded DNA binding",DNA-binding,"central nervous system development, determination of left/right symmetry, dorsal/ventral pattern formation, embryonic pattern specification, heart looping, motile cilium assembly, neuron differentiation, notochord development, regulation of cilium assembly, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
E4Y2G6,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EK16,59,20196916,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,sequence-specific double-stranded DNA binding,DNA-binding,"central nervous system development, neuron projection morphogenesis",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6H5HCJ4,47,,Homeobox domain-containing protein,Nesidiocoris tenuis,355587,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1G140,58,20214788,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7SDF9,57,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4C1VML8,52,,Homeobox protein DBX2,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1X7VMI1,58,,Inositol-polyphosphate 5-phosphatase,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity, inositol-1,4,5-trisphosphate 5-phosphatase activity, inositol-polyphosphate 5-phosphatase activity","DNA-binding, Hydrolase",phosphatidylinositol dephosphorylation,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4U8V2E6,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0B2V2J8,58,,Ventral anterior homeobox 2,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0V3I6,58,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, intramolecular transferase activity, phosphotransferases, magnesium ion binding, transmembrane transporter activity","DNA-binding, Isomerase",glucose metabolic process,"Carbohydrate metabolism, Glucose metabolism","Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
T1EI59,58,20196259,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1ELB1,58,20197361,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
V3ZVS2,58,20251430,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
K1QXJ5,58,,Homeobox domain-containing protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183ABA2,58,,Homeobox domain-containing protein,Echinostoma caproni,27848,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3Q0KM95,58,,Putative emx homeobox protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V3ZL81,58,20252441,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E9H245,58,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A5B7DRG8,58,,Homeotic protein empty spiracles,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1D1US53,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2I0UR41,58,,Homeobox protein emx1,Limosa lapponica baueri,1758121,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3XYK2,58,,Homeobox domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3YRD5,58,,Empty spiracles homeobox a,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1J1I6W2,58,,"CLUMA_CG008672, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6J1T0Z9,58,,homeobox protein EMX1-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G9NB28,58,,Homeobox domain-containing protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y3BQ76,58,,Retinal homeobox protein Rx2-like protein,Euroglyphus maynei (Mayne's house dust mite),6958,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
K1RXD5,58,105348011,Homeobox protein EMX1,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0B1T223,58,,Homeobox domain protein,Oesophagostomum dentatum (Nodular worm),61180,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2A2K9A7,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
G5ECT8,58,191615,Homeobox protein ceh-2,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0UP78,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H3ENW8,58,,Cpn-1,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0M3K1D7,58,,Homeodomain protein CEH-2 (inferred by orthology to a C. elegans protein),Anisakis simplex (Herring worm),6269,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0R3WE61,58,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6J8CK90,58,,EMX,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E4WWA3,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q4H3M8,58,,Transcription factor protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y3AX74,58,,Homeobox protein,Euroglyphus maynei (Mayne's house dust mite),6958,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7RIH8,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7SLZ7,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A077ZEI9,58,,Homeobox domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
